,Course code,Course Name,Learning Objectives,Course Description and Topics,Assignment Descriptions,
,COMM 470,Venture Capital,Read and understand venture capital term sheets. Value innovative companies using a range of techniques. Assess the quality of innovative companies. ,"The course aims to familiarize students with the workings of venture capital funds and venture capital financing. Students will be acquainted with the theory and empirical evidence concerning venture capital markets. The course will cover contracting, fundraising, and financing choice in depth, with the aim of catering to students looking to raise money for entrepreneurial ventures or invest in entrepreneurial ventures. ","The course will have several graded cases which will be worked on in small groups. All assignments are due by on the deadline posted online. Each case should be submitted on Canvas by one group member. If there is a problem with the online submission, you are required to email the completed assignment to me before the posted deadline. To ensure all students have equal access to information, all student questions on cases will be answered by email and the emails will be posted online. To ensure students who work on the case prior to the deadline are not at a disadvantage, case questions received less than 24 hours before the case due date will not be answered. Groups across sections will be allowed for some, but not all, cases. You are prohibited from discussing group cases with people outside of your group until after the in-class discussion. All assignments will be checked for plagiarism and cheating, which may involve the transmission of assignments to US web-servers. There will be a final case. You are required to complete the case. Your participation mark starts at 70%. Your grade will go up or down based on the following. In-class discussion and exercises: Class discussion is an important part of the learning experience. You will earn marks by being a leader in class discussion and lose marks be being unprepared. Guest Speakers: Impressing guest speakers is extremely important to me. You will lose significant amounts of marks by disrespecting guest speakers (electronics, skipping class, etc.) and earn significant amounts of marks by impressing them. I want every guest speaker to walk away thinking: ""Those students were amazing; I should hire one."" No external electronic devices are permitted on days with guest speakers.",
,COMM 482 / BAMA 503 001,New Product Development,Apply market discovery techniques to identify and validate market opportunities. Collect and analyze data to evaluate market attractiveness and potential. Collect and analyze data to guide product design decisions. Evaluate factors that influence new product adoption and diffusion. Apply concept testing techniques to develop sales forecasts and make launch decisions. Apply stage gates and project planning frameworks to manage the development process.,The process of developing new products and services is a source of competitive advantage and organizations are increasingly dependent on new products as a source of innovation and profitability. This course is designed for students interested in learning best practices used to develop new products and services and the factors that influence success and failure at each stage of development. The course is focused on industry best practices and is aimed at developing your ability as a manager and decision maker.,"Online pre-assessments are short quizzes that students complete on Canvas before the start of each class to ensure that everyone has read the assigned case or article for that day. This will ensure that everyone is prepared for class so that class time can be dedicated to higher-level discussion. Pre- assessments must be completed before the first live class or will receive a grade of zero. Students are evaluated on participation in every class. Your participation grade is based entirely on the extent to which your contribution to class discussion impacts the learning of others. It is about your impact on the learning of others rather than the frequency of your participation. Asking an intriguing question or presenting your analysis is more impactful than simply answering a question. Respecting your classmates is paramount and I value quality over quantity. Please note that it is class policy that all students must have their webcam turned on during all class sessions via Zoom. This fosters better communication, engagement, class cohesiveness and accountability. Students who do not turn on their webcam will receive a participation grade of zero for that class.
Grading Scale for Class Participation:
0 – Absent or late to class, or student video not on during Zoom sessions. 5 - Present but does not participate.
6 - Participates with basic information such as case facts.
7 – Offers an opinion or asks/answers a basic question.
8 – Engages in a meaningful discussion with other members of the class.
9 – Shares an analysis using data or evidence from the case or reading.
10 – Provides insight or asks a question that is instrumental in advancing understanding.
The case submission is a comprehensive case dealing with the concepts and best practices that we address throughout the course. You will be asked to answer a number of specific questions that require you to analyze several aspects of the case and make a decision. The case and questions will be posted on Canvas. The case submission is an individual assignment. You may not consult with your classmates or any other individuals. We will discuss the case in class. Consequently, late submissions cannot be accepted and will receive a grade of zero. Team Project Part 1: Market Opportunity Report (20%)
Students will be randomly assigned to teams and will apply the opportunity identification techniques learned in the course. The goal is to identify a set of market needs that will drive the design of the product/service concept submitted at the end of the course. Reports will be graded on the appropriateness and execution of the techniques employed, the team’s understanding of relevant concepts, the depth and appropriateness of the analysis, the clarity of the report, the attractiveness of the market opportunity, and the market potential of the need area. There is no defined page limit but 10-15 pages is a reasonable target. Please refer to the class schedule for the submission deadline. Late submissions will be penalized one letter grade for each 24-hour period beyond the deadline. Part 2 of the team project involves developing a new product or service concept that satisfies the market needs identified in Part I of the project. The proposal will (1) describe how the concepts identified in Part I were evaluated, prioritized, and screened (2) identify the benefits/characteristics that the design aims to maximize, (3) identify the trade-offs that existed and how trade-off decisions were made when optimizing the design, and (4) argue why the new concept should be pursued and outline the key risk factors that could affect successful development and market acceptance. Reports will be graded on the appropriateness and execution of trade-off decisions, the team’s understanding of relevant concepts, the depth and appropriateness of the analysis, the clarity of the report, and the market potential of the proposed product/service. There is no defined page limit but 15- 20 pages is a reasonable target. Guidelines for the report will be distributed in class. Refer to the class schedule for the submission deadline. Late submissions will be penalized one letter grade for each 24- hour period beyond the deadline. Each team will deliver a 20-minute presentation to the class pitching your new product/service concept. The presentation will be followed by a 10-minute Q&A period with the class. The format of your presentation is up to you and your team members, but it should be professional and involve each member of your team. Presentations will be held in the last four classes of the semester. Presentation dates for each team will be determined by a random draw (see course schedule for possible dates). All class members must attend the final presentations of all teams. Failure to attend will result in a 10% deduction from the student’s final grade. Presentation grades will be determined by the mean score your team receives from the class. The class will evaluate your team’s performance using the Presentation Evaluation Sheet at the end of this course outline. Your team should review the evaluation criteria listed on the Presentation Evaluation Sheet when developing your presentation.",
,COMM 485,Social Entrepreneurship,"Explain the purpose and roles of social ventures, as well as the benefits to society provided through this form of entrepreneurship. Define a social problem, demonstrating an understanding of the scope and parameters of the system that needs to be changed for the problem to be addressed. Identify opportunities for innovation, collaboration, and new business development in response to evolving social and environmental issues. Address unique funding and financial challenges facing social ventures. Design appropriate methods to measure social impacts and ensure accountability. Anticipate future developments and prospects in the field of social entrepreneurship.","Social entrepreneurship is an innovative, growing, and rapidly evolving field in business that tackles social and environmental challenges using business principles and methods to build more inclusive systems.
Social entrepreneurs are distinctive in their focus on a social mission as the primary, driving force of their organization. Traditional business performance measures – such as growth and profit – are relevant and important to social entrepreneurs, but not as standalone outcomes; rather, the value of growth and profit is manifested in the organization’s ability to achieve its social mission more quickly and effectively.
Social entrepreneurs see opportunity in the blurring of the traditionally separate roles of governments, non-governmental organizations, and companies. Social ventures can take a wide variety of forms ranging from non-profit to for-profit – and countless innovative hybrids in between.","Social Problem Situational Analysis. Selected Case Study. Team Presentation. Applied Social Enterprise Team Project. Reflection Paper Online Pre-assessments Component. Online Pre-Assessments. Social Problem Situational Analysis. Selected Case Study. Team Presentation. Applied Social Enterprise Team Project. Reflection Paper. Class Contribution and Participation. With the goal of providing a more active learning experience during our time together, students will complete regular online pre-assessments to guide their class preparation. Such preparation will ensure class time can be dedicated to higher-level application of and interaction with key concepts, tools, and discussions. The purpose of a situational analysis written assignment is to help increase knowledge about the context of a social problem, identified and selected by the students. The selected problem may be local, national, global or specific to another country. With this in mind, it is important to understand the context and system of which the problem is a part, as well as the circumstances and influences that may have resulted in the situation. This type of exercise is essential to developing a deeper understanding of how any proposed future recommendations or initiatives might impact all communities and stakeholders. In preparing the situational analysis please reference appropriate sources (literature and reports) and interpret and apply findings to regional issues (i.e. nutrition, health, education, the economy, environmental sustainability, etc.). This macro level background information will provide an important contextual backdrop. Elements of the situational analysis may include: Background ~ brief description of the situation in the region (i.e. country, province/state, city, etc.) in terms of economy, climate, political structure, religion, gender and other factors that could have an impact on the problem space you are exploring. Consider regional differences and particularities. Issue Status ~ research and statistics about the relevant issues. Causes of Issues, summary of factors (i.e. historical, political, cultural, climatic, etc.) that might be contributing to the current state of affairs relating to the current situation. Current Key Intervention Strategies ~ brief analysis of strategies that are currently being implemented to address the issues, including why the strategies may have been selected (consider appropriateness from a cultural and national perspective). What might be some of the challenges with these strategies. Resources, references clearly indicated for all sources used. The purpose of this assignment is to allow students to learn about what social entrepreneurs have done or are doing globally to address systemic issues that they have identified. By researching and understanding best practices and “failures”, students will gain an understanding of the challenges and successes that social entrepreneurs experience in establishing social ventures. One of the most effective ways to integrate and synthesize course concepts is to apply them in real practice. The Applied Social Enterprise Project is a defined assignment for which students will conduct research and develop focused recommendations for a local social venture facing real business opportunities and challenges. This project is the main, “hands-on” element of the course that will allow students to integrate and apply the course concepts to benefit real organizations. Working in teams, students will have the opportunity to work on at least one specific applied project, as identified by the participating partner organization. Final deliverables for this major team project will include a concise written report describing the team’s research, analysis and recommendations, as well as a brief presentation of the highlights. (Note: In some circumstances, the partner organization may request a team to present to the organization’s larger team.) Individual grades on team assignments may be subject to adjustment based on instructor and iPeer evaluations. Social entrepreneurship is a rapidly growing and evolving field with a vast array of definitions, forms, and applications around the world. Students will be encouraged to reflect on and explore more deeply the topics and cases that interest them during the semester. Students will be asked to write a reflective paper (“memo”) to share their individual insights arising from their experiences and their growing knowledge of the social enterprise field.",
,COMM 486G / BAEN 510,Intrapreneurship,"Design a complete corporate entrepreneurship program from the ground up. Assess the factors that are advantages or obstacles to intrapreneurship in varied organizational structures and cultures. Apply intrapreneurial best practices to innovation projects, ventures and social impact intrapreneurship inside existing organizations.","The entrepreneurially-minded can choose from several career paths: work for a company to gain experience, create their own startup venture, or become an innovator in an existing organization. There are many advantages to innovating inside a large company. This course is designed for intrapreneurs who intend to apply their entrepreneurial spirit to innovating within established organizations. The course sets the stage for intrapreneurship by looking at intrapreneurially driven corporate innovation strategies outside of the normal R&D process. You will learn how to leverage the innovation advantages existing organizations have over start-ups.  You will learn about your own “innovator’s DNA” and intrapreneurial best practices that combine disruptive innovation strategies, start-up thinking and entrepreneurial methods to accomplish organizational innovation in its many forms, from product/service innovation and business model innovation, to impact intrapreneurship for social and environmental purposes.  You will also take the role of a senior executive, by designing your own complete corporate venturing program to build disruptive innovation into your large company. This course is a complement to other courses in the entrepreneurship and innovation track.  It is also a standalone course for students in other tracks who are interested in driving innovation in existing organizations.This course develops student abilities to plan and execute on intrapreneurial initiatives in existing organizations, both as an intrapreneur, and as senior management building corporate entrepreneurship into the organization.","Assignments, Team Project Intrapreneurship in organizations is not a solo activity, and that reality is reflected in the team nature of much of the work in this course.  The course is participative and activity-based, and operates much like a real management team environment.  Like a real business, it requires engagement for success. Assessment of participation will be based on attendance at classes and the level of participation quality. Consider the class as a management meeting where you contribute your relevant experience, insights, and questions.  Quality pertains to the relevance, insight and clarity of your remarks, questions, and presentations.   Participation that would be judged well in a management team environment will earn high participation grades in class. Individual assignments will consist of assigned cases or scenarios.  Assignments may be a combination of individual written submissions, and group presentations in class.  Further details will be provided in class. The team project:  teams select a real-world organization and, using intrapreneurial principles, prepare a compelling proposal for a disruptive product or service that the organization should commercialize.  The team will present their intrapreneurial idea in a competition to convince senior management to fund it.  Students will be encouraged to propose intrapreneurial projects for organizations they are or have been involved with. Alternatively, teams may choose to design a complete and coherent corporate intrapreneurial program, for a real company of their choice.  The intrapreneurial program will include all the necessary elements to make it successful, such as a mission statement, idea generation/collection process, evaluation processes, incubation and training, and of course creating a brand for the program.  The team will present their program to convince senior management to fund it. As would be the case in the business world, the team will be assessed on the quality and completeness of the analysis, the team’s ability to communicate it, and how compelling and feasible the proposal is.""",
,COMM 489,Applied Methods in Technology Start-ups at CDL,Create a market entry plan for startups. Develop research plans for competitive analysis for real world companies. Write an investment thesis for seed investment. Understand the factors at play in making seed investment decisions. Develop critical thinking from systematic enquiry regarding a venture’s potential for success. Evolve one’s concise and effective business writing techniques. Create a strategic plan for and in conjunction with actual start-ups.,"The Creative Destruction Lab Venture Program is a 3-credit course in entrepreneurship in which students will work with the Creative Destruction Lab Vancouver (CDL-V) team to help emerging technology and science focused start-ups. Students will become familiar with the CDL-V companies and will have the opportunity to provide hands-on support to these company founders with market analysis, customer development, research, financial analysis, and/or other core activities related to building early stage start-ups. As well, by participating in an experiential learning initiative, students will learn how venture capitalists and angel investors make investment decisions, create actual documentation used in seed investment decisions, pitch to an investment committee, and will be provided access to best practices for strategy, business development, and fund raising for start-ups. Through this work, students will participate in decision making for the allocation of capital into CDL ventures. The course will consist of scheduled lectures and workshops as well as self-managed meetings with venture founders. Lectures and workshops will teach students concepts that they will apply in their experiential projects. Students will have access to and will be encouraged to attend CDL-V sessions in the form of volunteer support roles. Note that this course is a 3 Credit course taught over two full semesters.","Market Analysis (Individual). Venture Capital. Investment Thesis (Group). Venture Capital. Investment Thesis (Group Presentation). Venture Project Details of Assessments. Venture Capital Investment Thesis (Group Presentation). All assessments combine research as well as reflection of in-lecture lessons. Requirements, standards, and exemplars are highlighted in the course lectures. Assignment 1 is a five-page market entry analysis of a CDL-V participating venture encompassing a situational analysis, go to market strategy, and risk assessment. Assignment 2 is an eight-page group project investment thesis (group sizes 4-6) including a situational analysis and investment recommendation leveraging a CDL standard format. Assignment #3 is a group presentation to a mock investment committee of real venture capitalists. Assignment 4 is defined based on the needs of CDL-V ventures as they take part in the program. Objectives are defined during the CDL-V session and students support ventures in the successful completion of the objectives. Participation is measured based on in class value added discussion.",
,COMM 497/  COMR 497,New Entreprise Development,Understand and apply the fundamental concepts and components of planning a new start up. Recognizing viable business opportunities. Discovering customers through primary market research. Creating a viable business model and executable plan. Developing financial projections and identifying sources of capital. Improve their critical thinking and problem-solving skills.,"This is an overview course for students who want introduction to the fundamentals of entrepreneurship and the process of starting a new business venture. It provides an experience-based exposure to the challenges facing any would-be entrepreneur in the real world. The course is in part based on Steve Blank’s approach to customer discovery “lite” and the concept of minimum viable product. The course will use a combination of lectures, readings, videos, class discussion, and guest speakers. Attendance is expected to accomplish the learning objectives below. Lectures and discussions will assume that students have pre-read the corresponding readings as listed in the course schedule below. The course is weighted toward team work. The instructor already created the teams in Canvas for this purpose. There are ten teams in class. Please note that the class delivery is planned to be held in person, unless there is a change in provincial public health guidelines that would require the switch to online instruction.","A. INITIAL LIST OF IDEAS (TEAM) On Thursday, September 21, each team will submit the list of initial ideas to the instructor. The list should include a description of the problem, the proposed solution, potential market segments (who can benefit from the solution), and current solutions (competition). B. INITIAL WRITE-UP: 5% (TEAM) On Thursday, September 28, each team will upload a soft copy of their write-up, which includes one page and an initial business model canvas, to the Canvas site before the start of class at 3:00 pm. C. INTERIM REPORT AND PRESENTATION: 20% (TEAM) On Tuesday, October 24, Thursday, October 26, and Tuesday, October 31, teams will present the results of their market research. The presentation will cover both primary and secondary research, and teams should use the second business model canvas. For primary research, each team is required to conduct at least two interviews per member and collect at least 30 surveys per team. For secondary research, teams must investigate the industry and market they plan to enter, including researching their competition. Each team will have a 10-minute presentation followed by up to 5 minutes of Q&A. The report and slide deck must be uploaded to Canvas before the start of class on Tuesday, October 24. Grades will be distributed as follows: oral presentation (5%), slide deck (5%), and report (10%). D. FINAL REPORT AND POSTER BOARD PRESENTATION: 40% (TEAM) This assignment is the focal point of the entire class. Each venture team will prepare a presentation, including soft copies of the slide deck and the final report. Teams will present to a panel of experts, the instructor, and other students in the class. E. INTERVIEW WITH AN ENTREPRENEUR: 15% (INDIVIDUAL) Students must upload the soft copy of the interview and the questionnaire to Canvas before the start of class on Tuesday, November 28. Volunteer presentations of the interviews will take place that day. F. CLASS PARTICIPATION: 10% (INDIVIDUAL) Class participation is based on contributing to the quality of learning by giving comments and asking questions. Attendance is required to participate, and attendance will be recorded for each class. Please refer to the grading rubric for further details. G. PARTICIPATION IN AN ONLINE PREDICTION MARKET: 10% (INDIVIDUAL) Each student will participate in an online prediction market experiment as both a trader and a member of their entrepreneurial team. The goal of the experiment is to help students develop evaluation skills in selecting entrepreneurial ideas and predicting their success or failure. Trading decisions will be made based on information from students’ own projects and the presentations of other teams. The market will open on Thursday, September 28, and close on Thursday, December 7.",
,BAEN 502,Growing and Exiting a Venture,"Recognize and address the challenges and risks involved in growing an early stage venture. Apply practical, industry-relevant models and tools to build and evolve execution plans that will further the growth path of the venture. Assess and influence the human factors such as leadership and culture that are critical for successful company growth. Plan for the practicalities of preparing a company for future exit.","How do you build a scalable sales process that allows you to achieve sustainable growth? Who should sit on your advisory board? How do you structure employee contracts for employees 5 to 50? These questions and many more are critical to answer as you look to take your venture to the next level. Whether you are a co-founder, a manager, an employee, or another stakeholder, in this course you will shift your focus from survival, to planning and executing growth strategies. Your goal is to help the organization overcome the many hurdles ahead, successfully scale up for growth considering new products, markets, geographies, and customers, and to potentially prepare for exit. 
Growing & Exiting a Venture is the completing chapter of the MBA Entrepreneurship Track, and is the natural progression from Tech Entrepreneurship and the Entrepreneurship Project you may have completed over the summer.  But these are not prerequisites; this course is also for students in other tracks who have an interest in the management challenges facing ventures as they grow and mature beyond the early stages.  Entrepreneurial thinking and spirit are assets to any organization, no matter the size or stage. ","Assessments of class participation will be based on the level of participation quality.  Consider the class as a management meeting where you engage and contribute your relevant experience, insights, and questions with appropriate professional courtesy.  Quality pertains to the relevance, insight and clarity of your remarks, questions, and presentations.  Participation that would be judged well in a management team environment will earn high participation grades in class.  
The individual assignment will consist of an early-stage growth company scenario for your analysis and recommendations.  Further details will be provided in class. The team project will be your analysis and growth/exit plan for a real world organization from your own experience – if it is your own startup, so much the better. (Students may request a case organization be provided if they do not have an appropriate organization from their experience).  Working in teams you will create a practical and executable plan that could be presented to that organization. The project outcome will be in the form of a presentation to executive management.  As would be the case in the business world, you’ll be assessed on the quality and completeness of your plan, as well as on your ability to communicate it.",
,BAEN 505,Entrepreneurial Finance,"Learn and practice the basic tools for analyzing an entrepreneurial business. Learn basic methods for valuing an entrepreneurial business. Understand entrepreneurship from the side of a venture capitalist, as well as an entrepreneur. Gain an appreciation on how to fund an entrepreneurial business. Gain an appreciation on how to exit an entrepreneurial business. Get an introduction of the terms under which investments are made in start-up companies. Students will be able to understand the complexities of raising funds for novel ideas. They will be able to critically evaluate a business plan and presentation and identify the key business and financing issues. They will learn how to generate financial projections for start-ups and they will also learn how to perform alternative valuations methods to assess the valuation and price of investment deals. They will know how to negotiate terms sheets and how to prioritize contractual clauses. Finally, they will be able to make recommendations on fundraising strategies for both entrepreneurs and venture capital firms.","Entrepreneurs have changed the world over the last four decades. There are now many forms of finance available, from angels and venture capital to government programs and many others. These sources of funding have become an important segment of the financial system and the economy at large. In this course, we will look at financing for privately-held companies, particularly startup companies, from the perspective of both the entrepreneur and the investor. In this class, students will learn about the main challenges faced by entrepreneurs and investors, particularly venture capital practitioners. Sometimes the class will take the entrepreneur’s perspective, and other times it will switch to the perspective of the venture capitalist. Students will become familiar with the terminology and institutional background of the industry and learn to understand the underlying economic issues. While this course does not aim to provide a comprehensive treatment of financial valuation techniques, it will discuss many of the financial trade-offs that entrepreneurs need to understand in the context of venture capital deals, both in terms of valuation and contractual structures. It will also relate these financial trade-offs to the broader strategic decisions made by entrepreneurs and venture capital investors. In summary, the purpose of this course is to introduce students to the topics of entrepreneurial finance and venture capital, to expose students to the variety of challenges faced by different types of entrepreneurs in the process of seeking funding for their entrepreneurial ventures, and to examine theoretical, applied, and practice-based perspectives that aim to provide a symbiosis of alternative perspectives in understanding the financing challenges of entrepreneurial companies and their venture investors. The course will also introduce decision-making around structuring startups with founders and funding and consider decisions faced by entrepreneurs when exiting companies.","Assessments of class participation will be based on the quality of participation, not just attendance. Active discussion is expected and will be graded accordingly. Class assignments consist of writing a 2-page memo discussing the assignment questions for each of the five cases to be covered in the course. When relevant, students are encouraged to include spreadsheets with their calculations. Each assignment is worth 6 points unless otherwise noted, with the total number of points for assignments capped at 30. The final presentations will be assessed based on performance on the presentation day, as judged by the attending venture capitalist and the professor. This will be a group grade, though individual contributions will also be considered. The course includes a team project in cooperation with one of Canada’s leading venture capital firms, Chrysalix. Student teams can choose between two assignments: Investment Decision: Teams will be given access to real-world business plans from entrepreneurs seeking venture capital. The goal is for students to experience the process of selecting investment opportunities, performing due diligence, and making an investment recommendation to the senior partners of a venture capital firm. Exit Analysis: Teams will analyze existing portfolio companies from a venture firm and evaluate how to monetize the company and the value an investor might expect from an exit. Due to the confidential nature of the information provided by Chrysalix, students are not allowed to contact the companies they are evaluating. However, they are encouraged to perform due diligence on the company, its competitors, and its industry without disclosing the company’s identity. Although some class time will be allocated to discuss the investment evaluation exercise, most of the project work will be done outside of class. Teams will need to meet regularly and prepare a presentation to be delivered to Chrysalix partners. The final presentation is scheduled for Monday, April 8th, from 6 to 9 pm, outside of regular class time. For the Investment Decision project, presentations must cover two areas. The first part is “investment selection,” where teams will present their preliminary evaluation of all business plans and justify their top three choices, particularly the one selected for in-depth analysis. The second part is “investment proposals,” where teams will present a detailed analysis of their chosen business plan, propose a complete investment structure for funding the company, and provide recommendations on valuation and investment terms. The team must also make a final recommendation on whether the company should be funded. For the Exit Analysis project, the presentation must also address two major areas. The first part should discuss the most likely exit path for the company, considering both an IPO and an acquisition. In the acquisition scenario, teams should research potential and alternative acquirers, explaining why these companies might be interested. The second part should analyze whether an IPO might be more or less attractive compared to an acquisition.",
,BAEN 506/APSC 541,Technology Entrepreneurship,"The essential components of planning a new start-up include recognizing viable market opportunities, conducting market assessment via secondary market research, and customer discovery through primary market research. It also involves creating a profitable business model and an executable business plan, protecting the intellectual property at the core of the technology company, and developing financial projections aligned with the fundamentals of the proposed business plan. Students will work with peers from other disciplines, integrate creative business strategies with solid engineering, and collaborate effectively in multi-disciplinary teams. They will make decisions in highly uncertain and unstructured environments, incorporating feedback from a wide variety of sources to refine their business plans or pivot to alternative ideas or approaches. Additionally, students will present coherent business models and communicate with industry mentors and advisors. This course provides experience-based exposure to the process of starting technology-based entrepreneurial ventures. It is suitable for students interested in exploring the process of launching start-ups and the multiple challenges associated with it. The main project involves presenting a start-up opportunity identified by a team of students. Hosted jointly by the Sauder School of Business and the Faculty of Applied Sciences, the course is also open to entrepreneurial-minded students across UBC who are enrolled at master’s, PhD, or postdoc levels. The course applies Steve Blank’s Lean Launch Pad methodologies. It is interdisciplinary and entirely project-based, offering students an experience-based introduction to the process of starting a technology company. The course provides real-life immersion into the journey founders undergo when starting a high-tech company. Students will confront key issues involved in evaluating market opportunities, designing profitable business models, producing a solid business plan, raising capital, and building a winning team. Through this process, students will acquire the skills and tools needed to creatively commercialize high-tech research into profitable businesses. All venture ideas are subject to professors’ approval.","This course provides an experienced-based exposure to the process of starting technology-based entrepreneurial ventures. The course is suitable for students interested in exploring the process of launching start-ups, and the multiple challenges associated with it. The main project is to present a start-up opportunity that is identified by a team of students. This course is hosted jointly between the Sauder School of Business and the Faculty of Applied Sciences and is also open to entrepreneurial- minded student across UBC that are enrolled at master, PhD or postdoc levels. The course harnesses Steve Blank’s Lean Launch Pad methodologies. This course is interdisciplinary and entirely project-based. This course provides students with an experience-based introduction into the process of starting a technology company. It is a real-life immersion into the process that founders go through when starting a high-tech company. Student will be faced with the key issues involved in evaluating market opportunities, designing profitable business models, producing a solid business plan, raising capital and developing a winning team. Students will gain the skills and tools to creatively commercialize high tech research into profitable businesses. All venture ideas are subject to Professors’ approval.","Ideation Presentation: This presentation will outline the three primary ideas your team has identified as suitable for this course. The report will detail the ideation process, including supporting hypotheses and validation received for each idea. Interview Report: This short report requires students to describe the insights gained from interviews with potential customers and experts. The report will cover the initial hypotheses, interviewees, key learnings, confidence in the lead ideas, and any pivots made. Lead Idea Presentation: This presentation will focus on the lead idea the team will pursue for the second half of the class. The content of the report will be based on in-class activities, and students will present to guest mentors for feedback on the lead idea. Prototyping Plan: This plan lays the foundation for how the team will approach prototyping, covering aspects of lean prototyping, including outcomes, building, and testing. Final Prototype: Deliver a functional prototype that demonstrates key requirements for usability and testability. Final Presentation: The final presentation of the course will highlight key aspects of the lead idea and encompass all elements of the business model discussed in the course. Guest mentors will attend the final presentation for feedback.​",
,BAEN 509,Applied Methods in Technology Start-ups at CDL,"Create a market entry plan for startups, develop research plans for competitive analysis of real-world companies, and write an investment thesis for seed investment. Understand the factors involved in making seed investment decisions and develop critical thinking through systematic inquiry into a venture’s potential for success. Improve concise and effective business writing techniques while creating a strategic plan in collaboration with actual startups. Additionally, engage in personal reflections to assess your own learning style, helping to make informed decisions about future academic and professional careers.","The Creative Destruction Lab Venture Program is a 3-credit course in entrepreneurship in which students will work with the Creative Destruction Lab Vancouver (CDL-V) team to help emerging technology and science focused start-ups. Students will become familiar with the CDL-V companies and will have the opportunity to provide hands-on support to these company founders with market analysis, customer development, research, financial analysis, and/or other core activities related to building early stage start-ups. As well, by participating in an experiential learning initiative, students will learn how venture capitalists and angel investors make investment decisions, create actual documentation used in seed investment decisions, pitch to an investment committee, and will be provided access to best practices for strategy, business development, and fund raising for start-ups. Through this work, students will participate in decision making for the allocation of capital into CDL ventures.","Market Definition and Analysis for a CDL-V Venture (Individual), Venture Capital Investment Thesis (Group), Thesis Presentation (Group), and Venture Project (Individual) are all assessments that combine research and reflection on in-lecture lessons. Requirements, standards, and exemplars are highlighted during course lectures. Assignment 1 is a five-page market entry analysis of a CDL-V participating venture, which includes a situational analysis, go-to-market strategy, and risk assessment. Assignment 2 is a five-page group project investment thesis (group sizes of 4-6) that features a situational analysis and investment recommendation using a CDL standard format. Assignment 3 is a group presentation to a mock investment committee of real venture capitalists. Assignment 4 is defined by the needs of CDL-V ventures as they participate in the program, with objectives determined during the CDL-V session, where students support the ventures in successfully completing the objectives. Participation is measured based on the value added to in-class discussions.​",
,BAEN 540,Strategy and Innovation,"Understand strategic decision-making and organizational innovation processes, analyze business situations using relevant concepts and tools, and comprehend business approaches for managing strategy and innovation programs and projects. Create and present plans for solutions to important organizational challenges, while communicating effectively about planning and delivering on strategy and innovation.​","This course introduces the principles and frameworks of strategic management, as well as concepts surrounding the creation or expansion of innovation capabilities within organizations. Strategic management involves analysis, planning and execution of initiatives that achieve objectives in support of organizational goals. Innovation involves the development of revolutionary new or evolutionary improvements to existing ideas, methods, products, services, or combinations thereof that are adopted. The course will also consider the changing nature of organizational strategy and innovation in an environment of increasing globalization, digitization and automation. Entrepreneurship and intrapreneurship will be recurring themes throughout the course.
The course will emphasize actionable lessons and models that students, regardless of their professional or academic backgrounds, can apply in practice to create tangible and valuable outcomes across organizational types, growth stages, and industries. The course will explore these topics through a mixture of lectures, case studies, and discussions. Course goals: To introduce students to the principles of strategic management. To introduce students to innovation concepts and tools.  To develop student expertise with frameworks, tools and methods for issue identification and solution creation. To improve student capabilities to make effective arguments and present compelling recommendations.","Team memo 1, team memo 2, group project, reflection journal, and final group presentation are the key assessments in this course. The final group project (40%) involves groups of students delivering a presentation followed by a Q&A session, accompanied by a slide deck based on a case study. Students are expected to apply relevant strategy and innovation concepts from the course to support their analysis and recommendations. While each group member receives the same mark for the presentation, final individual grades may be adjusted at the discretion of the instructor based on peer feedback. Team memos (20%) require student teams to complete two 2-page memo-style summaries (each worth 15%) based on a case study that examines strategic challenges. Students must apply relevant concepts and tools learned throughout the course to address the case. The group assignment (20%) involves another group presentation with a slide deck based on a case study, where groups are again expected to apply relevant concepts and tools. As with the final project, each group member will receive the same mark, but grades may be adjusted based on peer feedback. The reflection journal (10%) is a self-guided, summative assignment, capturing notes from readings, reflections on class content, and evidence of applying course concepts during in-class activities. It should be well-organized but does not need to be perfect—quick notes, lists, and screenshots are acceptable. Class participation (10%) is a critical component, emphasizing experiential learning and classroom discussion. Students are expected to arrive prepared, engage productively, and participate like professionals. The quality of contributions matters more than the quantity, and participation marks are based on attendance, engagement, the quality of discussion contributions and exercises, and feedback from both peers and the instructor.​",
